  k  c(k)_E[001]  e(k)_E[001]  c(k)_E[1-10]  e(k)_E[1-10]  c(k)_E[110]  e(k)_E[110]

3.50	  0.00359615	  0.00617013	 -0.00286490	  0.00431321	 -0.02995582	  0.00874368
3.55	  0.00966503	  0.00585690	  0.00450318	  0.00474565	 -0.02335856	  0.01179436
3.60	  0.01938127	  0.00790162	  0.00247341	  0.00348725	 -0.01164187	  0.00768745
3.65	  0.01790502	  0.00550989	  0.00844901	  0.01069407	 -0.00162658	  0.00400019
3.70	  0.02791908	  0.00711625	  0.01866397	  0.00937889	  0.00497947	  0.00779814
3.75	  0.03001146	  0.00312890	  0.02480006	  0.00972019	  0.01554000	  0.02183611
3.80	  0.03444380	  0.01073190	  0.02833065	  0.00820834	  0.03002597	  0.01109078
3.85	  0.03814059	  0.00934820	  0.03293918	  0.01153134	  0.03106858	  0.00481286
3.90	  0.03680913	  0.00638422	  0.03378261	  0.00445721	  0.03875606	  0.00926815
3.95	  0.03972934	  0.00495227	  0.03612251	  0.01025376	  0.04466120	  0.00553685
4.00	  0.03754341	  0.01416206	  0.04102092	  0.00562511	  0.04734184	  0.00685722
4.05	  0.04462560	  0.00406017	  0.03993386	  0.00674498	  0.05088004	  0.00055682
4.10	  0.03381216	  0.01009913	  0.04094071	  0.00745376	  0.05059589	  0.00751824
4.15	  0.04077275	  0.00496587	  0.03659762	  0.00637059	  0.05569623	  0.00509574
4.20	  0.03496866	  0.01646673	  0.03296413	  0.00727605	  0.05481746	  0.00535910
4.25	  0.03241786	  0.01303549	  0.03264499	  0.00530125	  0.05477860	  0.00785490
4.30	  0.02481528	  0.01430618	  0.03142386	  0.01230337	  0.04933669	  0.00373635
4.35	  0.02766743	  0.01188839	  0.02965582	  0.00922137	  0.04294723	  0.01235773
4.40	  0.02027240	  0.00794344	  0.01811706	  0.00492071	  0.04002440	  0.01167712
4.45	  0.01868637	  0.00724342	  0.02228020	  0.00300864	  0.04034334	  0.00337363
